from_slug,to_slug,type,note
rd-hardware-engineer,power-electronics-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
reliability-test-engineer,quality-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
reliability-test-engineer,new-energy-vehicle-battery-test-engineer,adjacent,可靠性测试在电池测试的具体应用
semiconductor-equipment-engineer,semiconductor-process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
semiconductor-equipment-engineer,equipment-engineer-manufacturing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
semiconductor-process-engineer,semiconductor-equipment-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
semiconductor-process-engineer,process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
audio-algorithm-engineer,multimedia-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
audio-algorithm-engineer,sound-design-engineer,adjacent,音频算法与音效设计同处声音生产链
multimedia-dev,audio-algorithm-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
multimedia-dev,frontend,adjacent,音视频开发与前端播放器方向交叉
autonomous-driving-perception-engineer,computer-vision-engineer,adjacent,感知算法核心即CV
autonomous-driving-perception-engineer,autonomous-driving-planning-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
autonomous-driving-planning-engineer,autonomous-driving-perception-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
autonomous-driving-planning-engineer,robotics-algorithm-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
robotics-algorithm-engineer,robotics-mechanical-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
robotics-algorithm-engineer,autonomous-driving-planning-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
robotics-mechanical-engineer,robotics-algorithm-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
robotics-mechanical-engineer,mechanical-engineer,adjacent,机器人结构岗以机械工程为基础
game-client-engineer,gamedev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
game-client-engineer,game-server-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
game-client-engineer,frontend,adjacent,客户端与前端渲染技能部分重合
game-design,gamedev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
game-design,game-operations,adjacent,策划与运营共处游戏生命周期
game-monetization-analyst,game-operations,adjacent,商业化分析服务游戏运营
game-monetization-analyst,data-analyst,adjacent,商业化分析以数据分析为基础
game-server-engineer,backend-gaming,adjacent,游戏服务端与游戏后端同域
game-server-engineer,game-client-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
gamedev,game-client-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
gamedev,game-server-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
algorithm,nlp-algorithm-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
algorithm,computer-vision-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
algorithm,recsys-ads-algo,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bi-engineer,data-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bi-engineer,data-warehouse-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bigdata-eng,data-warehouse-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bigdata-eng,backend,adjacent,大数据开发与后端工程技能重合
computer-vision-engineer,algorithm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
computer-vision-engineer,autonomous-driving-perception-engineer,adjacent,CV在自动驾驶感知的主要落地场景
data-analyst,bi-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-analyst,data-science,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-analyst,business-analyst,adjacent,数分与BA边界高频混淆,常互相投递
data-mining-engineer,data-science,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-mining-engineer,algorithm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-science,data-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-science,data-mining-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-warehouse-dev,bigdata-eng,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-warehouse-dev,bi-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
nlp-algorithm-engineer,algorithm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
nlp-algorithm-engineer,llm-fine-tuning-engineer,adjacent,NLP算法向大模型微调演进
recommendation-strategy-analyst,recsys-ads-algo,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recommendation-strategy-analyst,strategy-product-manager,adjacent,推荐策略分析与策略PM相邻
recsys-ads-algo,algorithm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recsys-ads-algo,recommendation-strategy-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fpga-engineer,ic-design-digital-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fpga-engineer,embedded,adjacent,FPGA与嵌入式开发技能交叉
ic-design-analog-engineer,ic-design-digital-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ic-design-analog-engineer,ic-layout-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ic-design-digital-engineer,ic-verification-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ic-design-digital-engineer,fpga-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ic-layout-engineer,ic-design-analog-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ic-layout-engineer,ic-design-digital-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ic-verification-engineer,ic-design-digital-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ic-verification-engineer,fpga-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
api-integration-engineer,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
api-integration-engineer,project-management-it-implementation,adjacent,系统集成与IT实施同处交付链
ar-vr-engineer,game-client-engineer,adjacent,AR/VR与游戏客户端引擎技能同源
ar-vr-engineer,frontend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend,full-stack-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend,infra-middleware,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend,frontend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend-fintech,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend-fintech,backend-payment-systems-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend-gaming,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend-gaming,game-server-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend-payment-systems-engineer,backend-fintech,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
backend-payment-systems-engineer,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
blockchain-engineer,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
blockchain-engineer,security,adjacent,区块链工程与安全审计交叉
embedded,rd-hardware-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
embedded,fpga-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
frontend,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
frontend,frontend-mini-program-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
frontend,mobile-android-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
frontend-mini-program-dev,frontend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
frontend-mini-program-dev,mobile-android-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
frontend-visualization-engineer,frontend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
frontend-visualization-engineer,bi-engineer,adjacent,可视化前端与BI图表方向相邻
full-stack-dev,frontend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
full-stack-dev,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
infra-middleware,backend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
infra-middleware,devops-sre,adjacent,基础架构与运维边界相邻
mobile-android-dev,mobile-ios-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
mobile-android-dev,frontend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
mobile-ios-dev,mobile-android-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
mobile-ios-dev,frontend,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
qa-automation-engineer,test-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
qa-automation-engineer,qa-manual-tester,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
qa-manual-tester,qa-automation-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
qa-manual-tester,test-dev,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
test-dev,qa-automation-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
test-dev,backend,adjacent,测开需要后端工程能力
cloud-platform-engineer,devops-sre,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cloud-platform-engineer,cloud-solutions-architect,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
devops-sre,cloud-platform-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
devops-sre,infra-middleware,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
devops-sre,site-reliability-platform-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
network-engineer,devops-sre,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
network-engineer,telecom-network-engineer,adjacent,企业网络与电信网络工程互为相邻
penetration-tester,security,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
penetration-tester,ai-safety-red-teamer,adjacent,渗透测试与AI红队方法同源
security,penetration-tester,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
security,network-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
telecom-network-engineer,network-engineer,adjacent,电信网络与企业网络工程互为相邻
telecom-network-engineer,rd-hardware-engineer,adjacent,通信设备侧与硬件研发交叉
audio-podcast-producer,newmedia,adjacent,播客制作与新媒体运营同处内容生产
audio-podcast-producer,sound-design-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
film-tv-production-assistant,tv-broadcast-editor,adjacent,剧组执行与节目编导同处影视生产
film-tv-production-assistant,script-writer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
photographer-commercial,video-editor,adjacent,摄影与剪辑同处视觉内容生产
photographer-commercial,visual-design,adjacent,商业摄影与视觉设计协作紧密
script-writer,film-tv-production-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
script-writer,copywriter,adjacent,编剧与文案同为文字创作
sound-design-engineer,audio-algorithm-engineer,adjacent,音效设计与音频算法同处声音生产链
sound-design-engineer,audio-podcast-producer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
art-director,visual-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
art-director,brand-visual-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
brand-visual-designer,visual-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
brand-visual-designer,packaging-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
copywriter,newmedia,adjacent,文案是新媒体运营核心技能
copywriter,brand-pr,adjacent,文案与品牌公关内容同源
copywriter,script-writer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
designer,interaction-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
designer,visual-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
designer,ux-research,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
game-art,illustrator,adjacent,原画与插画技能同源
game-art,three-d-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
illustrator,game-art,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
illustrator,visual-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
industrial-design,designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
industrial-design,mechanical-engineer,adjacent,工业设计与机械结构协作紧密
interaction-design,designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
interaction-design,ux-research,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
motion-design,video-editor,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
motion-design,designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
packaging-designer,brand-visual-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
packaging-designer,visual-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
three-d-design,game-art,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
three-d-design,motion-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
typography-font-designer,visual-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
typography-font-designer,brand-visual-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ux-research,interaction-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ux-research,market-research,adjacent,用户研究与市场研究方法同源
video-editor,motion-design,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
video-editor,tv-broadcast-editor,adjacent,剪辑与节目编导同处视频生产
visual-design,designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
visual-design,brand-visual-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
exhibition-space-designer,interior-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
exhibition-space-designer,retail-visual-merchandiser,adjacent,展陈设计与零售陈列方法同源
fashion-designer,apparel-merchandiser,adjacent,服装设计与跟单买手同处服装产业链
fashion-designer,jewelry-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
interior-designer,exhibition-space-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
interior-designer,architect-assistant,adjacent,室内设计与建筑设计上下游相邻
jewelry-designer,fashion-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
jewelry-designer,industrial-design,adjacent,珠宝设计与产品造型设计技能交叉
exhibition-project-manager,event-marketing,adjacent,会展项目与活动市场同域
exhibition-project-manager,wedding-event-planner,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
wedding-event-planner,exhibition-project-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
wedding-event-planner,event-operations,adjacent,庆典策划与活动运营技能同源
hotel-management-trainee,store-manager-trainee,adjacent,酒店管培与门店管培同为线下运营管理
hotel-management-trainee,tour-guide-planner,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sports-event-operations,event-operations,adjacent,赛事运营与活动运营方法同源
sports-event-operations,tour-guide-planner,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
tour-guide-planner,hotel-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
tour-guide-planner,sports-event-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
internet-giant-management-trainee,fmcg-mt,adjacent,大厂管培与快消管培同为轮岗管培赛道
internet-giant-management-trainee,state-owned-enterprise-management-trainee,adjacent,互联网与央国企管培互为择业对照
agribusiness-management-trainee,agronomist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
agribusiness-management-trainee,fmcg-mt,adjacent,农企管培与快消管培赛道相邻
agricultural-product-trader,foreign-trade-sales,adjacent,农产品贸易与外贸业务技能同源
agricultural-product-trader,agribusiness-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
agricultural-technology-extension,agronomist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
agricultural-technology-extension,smart-agriculture-technician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
agronomist,agricultural-technology-extension,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
agronomist,smart-agriculture-technician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
aquaculture-technician,dairy-livestock-technician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
aquaculture-technician,agronomist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
dairy-livestock-technician,aquaculture-technician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
dairy-livestock-technician,agronomist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
forestry-technician,agronomist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
forestry-technician,agricultural-technology-extension,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
smart-agriculture-technician,agronomist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
smart-agriculture-technician,agricultural-technology-extension,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
book-editor,journalist-reporter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
book-editor,copywriter,adjacent,图书编辑与文案同为文字工作
journalist-reporter,book-editor,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
journalist-reporter,newmedia,adjacent,记者与新媒体内容生产互为流动通道
tv-broadcast-editor,journalist-reporter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
tv-broadcast-editor,video-editor,adjacent,编导与剪辑同处视频生产
tv-broadcast-editor,film-tv-production-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
logistics-manager-manufacturing,supply-chain-manufacturing-scm,adjacent,制造物流与制造供应链同域
logistics-manager-manufacturing,warehouse-management,adjacent,制造物流与仓储管理相邻
plant-manager-trainee,production-engineer,adjacent,工厂管培以生产工艺为主战场
plant-manager-trainee,pmc-production-planning,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pmc-production-planning,supply-chain-planner,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pmc-production-planning,industrial-engineer-ie,adjacent,生产计划与IE同为产能效率岗
procurement-engineer-manufacturing,procurement,adjacent,采购工程师是采购在制造业的技术化形态
procurement-engineer-manufacturing,vendor-management-specialist,adjacent,采购工程与供应商管理协作紧密
supply-chain-planner,pmc-production-planning,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain-planner,supply-chain-manufacturing-scm,adjacent,计划岗与制造供应链管理相邻
clinical-data-manager,cra-clinical,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
clinical-data-manager,data-analyst,adjacent,临床数据管理以数据处理为核心技能
cra-clinical,clinical-data-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cra-clinical,pharmacovigilance-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
health-insurance-claims-specialist,insurance-claims-adjuster,adjacent,医保结算与保险理赔流程同源
health-insurance-claims-specialist,hospital-purchasing-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hospital-medical-device-sales,sales-pharma-medical-device,adjacent,同为医疗设备销售,院内外渠道之分
hospital-medical-device-sales,medical-rep,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hospital-nursing-manager,registered-nurse,adjacent,护理管理由临床护士晋升而来
hospital-nursing-manager,public-hospital-administrative-staff,adjacent,护理管理与医院行政同处院内管理
hospital-purchasing-specialist,procurement,adjacent,医院采购是采购职能的院内形态
hospital-purchasing-specialist,health-insurance-claims-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-affairs-msl,medical-rep,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-affairs-msl,medical-writer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-rep,medical-affairs-msl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-rep,hospital-medical-device-sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-rep,sales-pharma-medical-device,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-writer,medical-affairs-msl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-writer,regulatory-affairs-pharma,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pharma-market-access-specialist,medical-rep,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pharma-market-access-specialist,health-insurance-claims-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pharmacist-retail,pharmacist-hospital,adjacent,零售与医院药师同执业不同场景
pharmacist-retail,medical-rep,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pharmacovigilance-specialist,cra-clinical,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pharmacovigilance-specialist,regulatory-affairs-pharma,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
regulatory-affairs-pharma,pharmacovigilance-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
regulatory-affairs-pharma,medical-writer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
architect-assistant,urban-planner,adjacent,建筑设计与城市规划学科相邻
architect-assistant,interior-designer,adjacent,建筑与室内设计上下游相邻
architect-assistant,civil-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
civil-construction-site-engineer,civil-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
civil-construction-site-engineer,construction-supervision-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
civil-engineer,civil-construction-site-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
civil-engineer,construction-project-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
construction-project-manager,civil-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
construction-project-manager,project-management-construction,adjacent,施工方项目经理与甲方工程PM互为镜像
construction-project-manager,construction-supervision-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
construction-supervision-engineer,civil-construction-site-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
construction-supervision-engineer,construction-project-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cost-engineer-quantity-surveyor,civil-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cost-engineer-quantity-surveyor,budget-analyst,adjacent,造价与预算管理方法同源
hvac-mep-engineer,civil-construction-site-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hvac-mep-engineer,electrical-engineer,adjacent,机电安装与电气工程技能交叉
property-management,facility-management,adjacent,物业管理与企业后勤设施管理技能同源
property-management,real-estate,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
real-estate,real-estate-investment-expansion,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
real-estate,sales-real-estate-agent-newhome,adjacent,营销策划与案场销售同链条
real-estate-agent,sales-real-estate-agent-newhome,adjacent,二手经纪与新房渠道互为相邻
real-estate-agent,real-estate,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
real-estate-investment-expansion,real-estate,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
real-estate-investment-expansion,cost-engineer-quantity-surveyor,adjacent,投拓测算与造价可行性分析技能交叉
urban-planner,architect-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
urban-planner,civil-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
apparel-merchandiser,category-buyer-merchandiser,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
apparel-merchandiser,fashion-designer,adjacent,跟单买手与服装设计同处服装产业链
beauty-cosmetics-brand-specialist,marketing-b2c-consumer,adjacent,美妆品牌与消费品营销同域
beauty-cosmetics-brand-specialist,trade-marketing-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
category-buyer-merchandiser,supermarket-category-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
category-buyer-merchandiser,apparel-merchandiser,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fmcg-mt,store-manager-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fmcg-mt,trade-marketing-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fmcg-mt,sales-fmcg-channel,adjacent,快消管培主战场即渠道销售
food-rd-engineer,food-safety-qa-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
food-rd-engineer,chemical-process-engineer,adjacent,食品研发与化工工艺方法交叉
food-safety-qa-specialist,food-rd-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
food-safety-qa-specialist,quality-engineer,adjacent,食品质量与制造质量方法同源
retail-visual-merchandiser,exhibition-space-designer,adjacent,零售陈列与展陈设计方法同源
retail-visual-merchandiser,store-manager-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
store-manager-trainee,fmcg-mt,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
store-manager-trainee,supermarket-category-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supermarket-category-manager,category-buyer-merchandiser,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supermarket-category-manager,trade-marketing-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
trade-marketing-specialist,sales-fmcg-channel,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
trade-marketing-specialist,marketing-b2c-consumer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
early-childhood-educator,kindergarten-public-teacher,adjacent,民办与公办幼教同执业不同编制
early-childhood-educator,special-education-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
education,education-curriculum-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
education,k12-subject-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
education-curriculum-designer,education,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
education-curriculum-designer,k12-subject-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
k12-subject-teacher,k12-public-school-teacher,adjacent,机构教师与公办教师同学科不同体制
k12-subject-teacher,private-tutor-online-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
k12-subject-teacher,education-curriculum-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
private-tutor-online-teacher,k12-subject-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
private-tutor-online-teacher,sales-education-course-consultant,adjacent,在线主讲与课程顾问同处获客链路
special-education-teacher,early-childhood-educator,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
special-education-teacher,rehabilitation-therapist,adjacent,特教与康复治疗服务人群重叠
study-abroad-consultant,sales-education-course-consultant,adjacent,留学顾问与课程顾问同为教育咨询销售
study-abroad-consultant,private-tutor-online-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
vocational-trainer,training-development,adjacent,职业讲师与企业培训发展相邻
